"응답자특성별(1)",응답자특성별(2),2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"응답자특성별(1)",응답자특성별(2),분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차,분석대상자수 (명),시도율 (%),표준오차
"전체",소계,58224,4.7,0.1,29874,3.6,0.1,28350,5.9,0.2,71401,5.5,0.1,37202,4.9,0.1,34199,6.3,0.2,74698,5.8,0.1,39466,4.2,0.1,35232,7.6,0.2,75238,4.7,0.1,39278,3.7,0.1,35960,5.9,0.2,75066,4.6,0.1,39612,3.3,0.1,35454,6.0,0.2,73238,5.0,0.1,38391,3.8,0.1,34847,6.3,0.2,75643,4.3,0.1,37873,3.0,0.1,37770,5.6,0.1,74186,4.1,0.1,38221,2.8,0.1,35965,5.4,0.1,72435,4.1,0.1,36655,2.8,0.1,35780,5.5,0.2,72060,2.9,0.1,36470,2.3,0.1,35590,3.6,0.1,68043,2.4,0.1,35204,2.0,0.1,32839,3.0,0.1,65528,2.4,0.1,33803,2.0,0.1,31725,2.7,0.1,62276,2.6,0.1,31624,2.0,0.1,30652,3.2,0.1,60040,3.1,0.1,30463,2.2,0.1,29577,4.1,0.1,57303,3.0,0.1,29841,1.9,0.1,27462,4.0,0.1,54948,2.0,0.1,28353,1.4,0.1,26595,2.7,0.1
"학년별",중1,12167,4.6,0.2,6281,3.2,0.3,5886,6.2,0.3,12876,5.4,0.2,6916,4.8,0.3,5960,6.1,0.4,13035,6.0,0.3,7102,3.9,0.3,5933,8.5,0.4,13037,5.3,0.2,6893,3.6,0.3,6144,7.2,0.4,12714,5.9,0.3,6933,3.5,0.2,5781,8.4,0.5,12468,6.0,0.3,6519,4.0,0.3,5949,8.1,0.5,12728,4.7,0.2,6548,3.0,0.2,6180,6.6,0.4,12362,4.3,0.2,6364,2.6,0.2,5998,6.2,0.3,12199,5.4,0.3,6411,2.7,0.2,5788,8.3,0.4,11661,3.7,0.2,6078,2.4,0.2,5583,5.2,0.3,10786,3.2,0.2,5576,2.2,0.2,5210,4.2,0.3,10483,2.6,0.2,5516,1.7,0.2,4967,3.6,0.3,10189,2.5,0.2,5178,1.7,0.2,5011,3.5,0.3,9847,3.4,0.2,4960,1.8,0.2,4887,5.0,0.3,9738,3.3,0.2,5126,1.5,0.2,4612,5.1,0.3,10005,2.0,0.1,5098,1.3,0.2,4907,2.7,0.2
"학년별",중2,11998,5.2,0.3,6118,3.4,0.3,5880,7.2,0.4,12382,6.0,0.3,6404,5.0,0.3,5978,7.1,0.4,12849,6.6,0.3,6810,4.4,0.3,6039,9.1,0.4,13056,5.5,0.3,6938,4.3,0.3,6118,6.8,0.4,12868,5.0,0.2,6965,3.6,0.3,5903,6.5,0.4,12499,5.7,0.2,6620,4.1,0.3,5879,7.4,0.3,12903,5.4,0.2,6413,3.3,0.3,6490,7.7,0.4,12384,4.9,0.2,6394,3.1,0.2,5990,6.9,0.4,12113,5.7,0.3,6261,3.7,0.2,5852,7.9,0.4,12275,3.2,0.2,6331,2.2,0.2,5944,4.4,0.3,11442,2.9,0.2,6038,1.9,0.2,5404,3.9,0.3,10517,2.7,0.2,5466,1.9,0.2,5051,3.5,0.3,10377,3.4,0.2,5272,2.4,0.2,5105,4.5,0.3,10092,3.7,0.2,5137,2.5,0.2,4955,5.0,0.4,9665,3.6,0.2,5039,2.3,0.3,4626,5.0,0.3,9564,1.9,0.2,4823,1.4,0.2,4741,2.4,0.2
"학년별",중3,11384,5.0,0.3,5836,4.0,0.3,5548,6.1,0.5,12159,6.0,0.3,6298,5.3,0.4,5861,6.8,0.4,12936,6.1,0.3,6709,4.4,0.3,6227,8.1,0.4,12850,4.8,0.2,6900,3.4,0.3,5950,6.4,0.4,12827,4.5,0.2,7035,3.1,0.2,5792,6.2,0.3,12603,5.2,0.3,6817,3.8,0.3,5786,6.7,0.5,12843,4.9,0.2,6589,3.5,0.3,6254,6.5,0.3,12551,4.7,0.2,6525,3.2,0.2,6026,6.2,0.3,12218,4.4,0.2,6249,3.1,0.2,5969,5.8,0.3,12220,3.4,0.2,6154,2.7,0.2,6066,4.1,0.3,12071,2.5,0.2,6244,2.1,0.2,5827,3.0,0.2,11219,2.6,0.2,5760,2.1,0.2,5459,3.1,0.3,10319,3.1,0.2,5202,2.5,0.2,5117,3.8,0.3,10290,3.8,0.2,5231,2.7,0.2,5059,4.9,0.3,9981,3.9,0.2,5236,2.6,0.2,4745,5.2,0.3,9392,2.1,0.1,4909,1.1,0.1,4483,3.2,0.3
"학년별",고1,11469,4.6,0.2,5898,3.9,0.3,5571,5.4,0.3,11624,5.1,0.3,6039,4.6,0.4,5585,5.5,0.4,12809,5.9,0.3,6602,4.5,0.3,6207,7.6,0.5,12720,4.5,0.3,6674,3.5,0.3,6046,5.6,0.4,12477,4.4,0.2,6890,3.2,0.3,5587,5.8,0.4,12021,4.9,0.3,6229,3.9,0.4,5792,6.2,0.4,12569,3.9,0.2,6386,2.8,0.2,6183,5.1,0.3,12451,4.2,0.2,6606,3.2,0.2,5845,5.4,0.3,12028,3.4,0.2,6098,2.7,0.2,5930,4.2,0.3,11824,2.5,0.1,6048,2.1,0.2,5776,2.9,0.3,11122,2.2,0.2,5785,1.7,0.2,5337,2.8,0.3,11355,2.2,0.1,5861,2.1,0.2,5494,2.3,0.2,10165,1.9,0.1,5069,1.4,0.2,5096,2.4,0.2,9260,2.7,0.2,4805,1.6,0.2,4455,4.0,0.3,9273,2.6,0.2,4782,1.8,0.2,4491,3.4,0.3,8907,1.7,0.1,4602,1.1,0.2,4305,2.2,0.2
"학년별",고2,11206,4.1,0.2,5741,3.7,0.3,5465,4.6,0.3,11450,5.5,0.3,6005,4.6,0.3,5445,6.6,0.6,11596,5.2,0.2,6199,4.2,0.3,5397,6.2,0.4,12375,4.2,0.2,6067,3.5,0.3,6308,4.9,0.3,12427,4.1,0.2,6104,3.4,0.3,6323,4.8,0.3,12124,4.1,0.2,6273,3.4,0.3,5851,4.8,0.3,12508,3.3,0.2,5954,2.4,0.2,6554,4.4,0.3,12315,3.4,0.2,6221,2.3,0.2,6094,4.6,0.3,11865,3.3,0.2,5595,2.7,0.2,6270,3.9,0.3,12152,2.4,0.1,6009,2.2,0.2,6143,2.7,0.2,11113,1.9,0.1,5777,1.7,0.2,5336,2.2,0.2,11070,2.2,0.1,5744,2.2,0.2,5326,2.2,0.2,10800,2.4,0.2,5610,1.9,0.2,5190,3.1,0.3,10039,2.5,0.2,5110,2.1,0.2,4929,3.0,0.3,9044,2.4,0.2,4662,1.8,0.2,4382,3.1,0.3,8907,2.3,0.2,4631,1.5,0.2,4276,3.2,0.3
"학년별",고3,-,-,-,-,-,-,-,-,-,10910,5.1,0.3,5540,4.7,0.4,5370,5.5,0.6,11473,4.8,0.3,6044,4.0,0.3,5429,5.6,0.4,11200,3.8,0.2,5806,3.8,0.3,5394,3.9,0.3,11753,3.6,0.2,5685,3.1,0.3,6068,4.1,0.4,11523,4.1,0.2,5933,3.7,0.3,5590,4.4,0.3,12092,3.3,0.2,5983,3.2,0.3,6109,3.6,0.3,12123,2.9,0.2,6111,2.4,0.2,6012,3.4,0.2,12012,2.7,0.2,6041,2.2,0.2,5971,3.3,0.2,11928,2.4,0.1,5850,2.3,0.2,6078,2.5,0.2,11509,2.1,0.1,5784,2.2,0.2,5725,2.0,0.2,10884,2.1,0.2,5456,2.2,0.2,5428,2.0,0.2,10426,2.3,0.2,5293,2.1,0.2,5133,2.5,0.2,10512,2.6,0.2,5220,2.4,0.2,5292,2.9,0.2,9602,2.1,0.2,4996,1.7,0.2,4606,2.7,0.2,8173,2.1,0.2,4290,1.6,0.2,3883,2.8,0.3
"학교급별",중학교,35549,4.9,0.1,18235,3.5,0.2,17314,6.5,0.2,37417,5.8,0.2,19618,5.1,0.2,17799,6.7,0.2,38820,6.2,0.2,20621,4.2,0.2,18199,8.6,0.2,38943,5.2,0.1,20731,3.8,0.2,18212,6.8,0.2,38409,5.1,0.1,20933,3.4,0.2,17476,7.0,0.2,37570,5.6,0.2,19956,4.0,0.2,17614,7.4,0.3,38474,5.0,0.1,19550,3.3,0.2,18924,6.9,0.2,37297,4.6,0.1,19283,3.0,0.1,18014,6.4,0.2,36530,5.2,0.1,18921,3.2,0.1,17609,7.3,0.2,36156,3.4,0.1,18563,2.4,0.1,17593,4.5,0.2,34299,2.8,0.1,17858,2.0,0.1,16441,3.7,0.2,32219,2.6,0.1,16742,1.9,0.1,15477,3.4,0.2,30885,3.0,0.1,15652,2.2,0.1,15233,3.9,0.2,30229,3.6,0.1,15328,2.3,0.1,14901,5.0,0.2,29384,3.6,0.1,15401,2.2,0.1,13983,5.1,0.2,28961,2.0,0.1,14830,1.3,0.1,14131,2.8,0.1
